"Value","Frequency","average_fraud_flag"
"COMPUTER SOFTWARE",402,0
"COMPUTERS",50221,0.0219
"COOKING APPLIANCES",58,0
"COOKWARE",331,0.0253
"CRAFT",38,0
"DECORATING",37,0
"DECORATIVE ACCESSORIES",592,0.0152
"DIARIES & ORGANISERS",2,0
"DIARIES ORGANISERS",3,0
"DISPOSABLE TABLEWARE CUTLERY",2,0
"DOOR FURNITURE",11,0
"DRESSMAKING",64,0
"EASTER DECORATIONS",3,0
"FACIAL SKINCARE",53,0
"FILING DESK ACCESSORIES",16,0
"FITTED KITCHENS",10,0
"FOOD PREPARATION",161,0.0081
"FOOD STORAGE",57,0
"FRAGRANCE",79,0.0364
"FULFILMENT CHARGE",25023,0.0222
"GAMES",16,0
"GAMING",36,0.0357
"GARDENING EQUIPMENT",38,0
"GIFT FOOD DRINK",22,0
"GIFT WRAP",16,0
"GIRLSWEAR",33,0
"GREETING CARDS & PERSONALISED STATIONERY",5,0
"GREETING CARDS PERSONALISED STATIONERY",9,0
"GYM EQUIPMENT",5,0
"HAIRCARE",12,0
"HEALTH & BEAUTY ELECTRICAL",4,0
"HEALTH BEAUTY ACCESSORIES",1,0
"HEALTH BEAUTY ELECTRICAL",225,0
"HEATING & COOLING APPLIANCES",13,0
"HEATING COOLING APPLIANCES",40,0
"HI-FI",135,0.0296
"HOME AND PERSONAL SECURITY",102,0.0202
"HOME OFFICE",557,0
"HOME SAFETY EQUIPMENT",1,0
"HOT DRINK PREPARATION",79,0
"HOUSEHOLD CLEANING",455,0.0082
"HP ELITEBOOK 850V6",6,0
"IMAGING ACCESSORIES",8,0
"IMAGING EQUIPMENT",85,0.0741
"JEWELLERY & WATCHES",2,0
"JEWELLERY WATCHES",36,0.0294
"KITCHEN ACCESSORIES",58,0.0233
"KITCHEN SCALES & MEASURES",2,1
"KITCHEN SCALES MEASURES",12,0
"KITCHEN STORAGE",39,0
"KITCHEN UTENSILS & GADGETS",31,0.2
"KITCHEN UTENSILS GADGETS",129,0
"LAUNDRY & CLOTHESCARE",34,0.1154
"LAUNDRY CLOTHESCARE",104,0
"LIGHTING",1090,0.0097
"LINGERIE & HOISERY",3,0
"LINGERIE HOISERY",29,0
"LIVING & DINING FURNITURE",1900,8e-04
"LIVING DINING FURNITURE",7434,4e-04
"LOGITECH PEBBLE M350 BLUETOOTH MOUSE",2,0
"LUGGAGE",15,0.1538
"MAKEUP",76,0
"MEN S ACCESSORIES",7,0
"MEN S CLOTHES",59,0.0652
"MEN S FOOTWEAR",26,0.05
"MEN S NIGHTWEAR",13,0
"MEN S SPORTSWEAR",1,0
"MEN S UNDERWEAR SOCKS",15,0
"MENS CLOTHES",13,0
"MENS NIGHTWEAR",1,0
"MENS UNDERWEAR & SOCKS",3,0
"MICROSOFT OFFICE HOME AND STUDENT 2019,",2,0
"NURSERY ACCESSORIES",111,0.0233
"NURSERY EQUIPMENT FURNITURE",3,0
"NURSERY FURNITURE",212,0.018
"NURSERY LINEN",29,0.037
"NURSERY TOYS",18,0
"OUTDOOR ACCESSORIES",170,0.0071
"OUTDOOR FURNITURE",1754,0.0025
"PAPER NOTEBOOKS",4,0
"PARTY DECORATIONS",7,0
"PENS PENCILS",3,0
"PICNICWARE",19,0
"PORTABLE AUDIO EQUIPMENT",2,0
"POWER & BATTERIES",145,0
"POWER BATTERIES",388,0.0139
"PRESERVING & BAKING EQUIPMENT",9,0.2
"PRESERVING BAKING EQUIPMENT",31,0
"PRINTERS & SCANNERS",2,0
"PRINTERS SCANNERS",48,0
"PRODUCT",1,0
"SCHOOLWEAR",23,0
"SERVICE",3375,0.001
"SOFT FURNISHINGS",688,0.0131
"SPORTS EQUIPMENT",9,0
"STANDS & BRACKETS",29,0
"STANDS BRACKETS",142,0
"STATIONERY SUNDRIES",5,0
"STORAGE & ORGANISATION",39,0.1905
"STORAGE ORGANISATION",152,0
"SUNCARE",2,0
"SUNGLASSES & READING GLASSES",5,0
"SUNGLASSES READING GLASSES",11,0
"TABLE LINEN",13,0
"TABLEWARE",681,0.0301
"TARGUS GEOLITE ESSENTIAL CASE",2,0
"TECHNOLOGY ACCESSORIES",1,0
"TELEPHONE ACCESSORIES",469,0.0024
"TELEPHONES FAX MACHINES TWO-WAY RADIOS",1513,0.0245
"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",3138,0.0289
"TELEVISIONS & HOME CINEMA",857,0.0012
"TELEVISIONS HOME CINEMA",14051,0.0037
"THEMED GIFTS",14,0
"TOSHIBA PORTABLE HARD DRIVE",2,0
"TOYS",127,0
"UNKNOWN",9,0
"VIDEOS DVD DIGITAL EQUIPMENT",20,0
"WARRANTY",8213,0.0026
"WINDOW DRESSING",252,0
"WOMEN S ACCESSORIES",18,0
"WOMEN S CLOTHES",142,0.0256
"WOMEN S FOOTWEAR",39,0
"WOMEN S NIGHTWEAR",29,0
"WOMENS ACCESSORIES",2,0
"WOMENS CLOTHES",20,0
"WOMENS FOOTWEAR",2,0
