"Value","Frequency"
"CRANE GARDEN BUILDINGS",44
"CREATIVE TOPS",2
"CREED",9
"CREW CLOTHING",2
"CRICUT",26
"CROCS",1
"CROFT COLLECTION",134
"CUDDLEDRY",7
"CUISINART",1
"CULINARY CONCEPTS",3
"CYBERJAMMIES",2
"CYBEX",157
"D R",37
"DAISY ",1
"DANISH DESIGN",2
"DARTINGTON CRYSTAL",24
"DAVID HUNT",2
"DBRAMANTE1928",4
"DE LONGHI",12
"DECENT",1
"DEKNUDT MIRRORS",1
"DELIVITA",1
"DELL",75
"DENBY",66
"DESIGN PROJECT BY RETAILER",38
"DESIGNERS GUILD",6
"DESSER",17
"DEVIALET",1
"DEVON DUVETS",5
"DIOR",29
"DIPTYQUE",8
"DISNEY",9
"DKNY",3
"DOCK BAY",1
"DOCKATOT",31
"DONE BY DEER",4
"DORA DESIGNS",2
"DORINA",2
"DR BROWN S",4
"DR BROWNS",4
"DREAMFARM",1
"DREAMGENII",2
"DREAMLAND",2
"DUALIT",36
"DUNE",7
"DUNLOPILLO",8
"DURALEX",5
"DURESTA",35
"DYSON",428
"E-CLOTH",4
"EARTHKIND",5
"EASIGRASS",2
"EAST END PRINTS",3
"EAZIGLIDE",41
"ECLAT CRISTAL D ARQUES PARIS",2
"ECOVIBE",3
"EDDINGTONS",5
"EDUSHAPE",1
"EEBOO",1
"EGG",90
"EKO",5
"ELEANOR BOWMER",4
"ELEMIS",3
"ELIA",1
"ELIZABETH ARDEN",2
"ELVIE",28
"EMILE ET ROSE",2
"EMMA",134
"EMMA BRIDGEWATER",7
"EMMA J SHIPLEY",10
"EMPORIO ARMANI",2
"EMU",10
"EPSON",6
"ERCOL FOR RETAILER",140
"ERGOBABY",28
"ESPA",1
"EST E LAUDER",7
"ESTEBAN",2
"EUFY",1
"EVA SOLO",4
"EVERDURE BY HESTON BLUMENTHAL",15
"EVOLVE ORGANIC BEAUTY",2
"EXTREME LOUNGING",9
"FABLAB",1
"FABRIC FLAVOURS",2
"FALLEN FRUITS",3
"FAR AFIELD",1
"FARMER S COTTAGE",21
"FARMERS COTTAGE",6
"FELLOWES",2
"FENELLA SMITH",4
"FENN WRIGHT MANSON",2
"FIAM",3
"FILOFAX",1
"FINAL TOUCH",2
"FINERY",1
"FITBIT",2
"FITFLOP",1
"FLORAL STREET",1
"FLORALSILK",9
"FLORENCE BROADHURST",1
"FLOS",4
"FOLK",2
"FRANKE",3
"FREDERIC MALLE",1
"FRENCH CONNECTION",11
"FREYA",4
"FRUGI",2
"G PLAN VINTAGE",192
"G TERMANN CREATIV",2
"GABOR",4
"GAIA BABY",8
"GALERIE",2
"GALLERY DIRECT",29
"GALLERY PERFECT",7
"GARMIN",4
"GEORG JENSEN",1
"GEOX",1
"GERARD DAREL",1
"GHD",10
"GINGER FOX",1
"GINGER RAY",5
"GIORGIO ARMANI",2
"GOLA",1
"GOOCH LUXURY",36
"GOOCH ORIENTAL",13
"GOOD2HEAT",1
"GOOGLE",66
"GREAT LITTLE TRADING CO",23
"GREENPAN",5
"GUCCI",2
"GUND",1
"GÜTERMANN CREATIV",9
"H G",10
"HABICO",2
"HAHN",1
"HALO",340
"HALSALL",1
"HAPPY SOCKS",1
"HARLEQUIN",45
"HARRY POTTER",1
"HATLEY",1
"HAVAIANAS",1
"HEATHCOTE IVORY",1
"HERM S",1
"HERMAN MILLER",164
"HERSCHEL SUPPLY CO",4
"HIB",1
"HIM YA",1
"HIVE",1
"HOBBS",10
"HOT DIAMONDS",2
"HOTEL CHOCOLAT",2
"HOUSE BY RETAILER",1
"HP",68
"HP2",2
"HUDSON LIVING",1
"HUGO BOSS",9
"HUMANSCALE",42
"HUMAX",1
"HUSH",15
"HUSH PUPPIES",2
"HUSK",1
"HYPE",1
"HYPNOS",204
"ICANDY",82
"IDESIGN",1
"IGOR",1
"IITTALA",6
"IMPEX",11
"INGENUITY",25
"INNOVATION LIVING",227
"INSTANT POT",2
"IVYLINE",8
"IXIA FLOWERS",5
"J BRAND",1
"JABRA",7
"JAIPUR",2
"JAMES ELLIS STEVENS",1
"JAMIE OLIVER BY TEFAL",7
"JANE CHURCHILL",1
"JANOD",2
"JANOME",28
"JAY-BE",6
"JELLY BELLY",1
"JELLYCAT",12
"JEM BEA",2
"JIGSAW",3
"JIMMY CHOO",1
"JO MALONE ",9
"JOBY",1
"JOIE",8
"JOIE BABY",51
"JOLIE MOI",3
"JORMAEPOURRI",1
"JOSEF SEIBEL",1
"JOSEPH JOSEPH",147
"JOULES",26
"JULIA DONALDSON",1
"JULIETTE HAS A GUN",1
"JUMPKING",2
"JURA",2
"JUST SHEEPSKIN",1
"KAEMINGK",1
"KALLY SLEEP",6
"KARLSSON",2
"KARNDEAN",2
"KARTELL",53
"KATE SPADE NEW ",1
"KATIE LOXTON",3
"KENWOOD",6
"KETTLER",520
"KIEHL S",4
"KIEHLS",3
"KIN",6
"KING COLE",1
"KIT KIN",1
"KITCHENAID",11
"KNITTY CRITTERS",1
"KNOMO",2
"KOBO",1
"KOTI HOME",43
"KUB",13
"KUHN RIKON",1
"KURT GEIGER ",1
"KVELL",2
"L K BENNETT",5
"L O L SURPRISE",1
"L OCCITANE",1
"LA HACIENDA",11
"LA MER",1
"LACIE",31
"LAFUMA",5
"LAGUIOLE",1
"LAMAZE",1
"LANC ME",1
"LANCASTER AND GIBBINGS",1
"LANSINOH",18
"LASCAL",2
"LASCELLES",3
"LAURA ASHLEY",27
"LAURA MERCIER",2
"LAURENCE KING PUBLISHING",1
"LAVA LAMP",3
"LAVA® LAMP",1
"LAVAZZA",4
"LAY-Z-SPA",12
"LE CREUSET",208
"LE IRWIN",2
"LE LABO",1
"LEAPFROG",2
"LEGO",27
"LEIFHEIT",7
"LEITZ",3
"LENOVO",14
"LEON",4
"LEVI S",19
"LG",8448
"LG OUTDOOR",96
"LIBERTY",1
"LIBRA",5
"LIDO",1
"LIGA",2
"LIKE-IT",7
"LILY-FLAME",3
"LISH PEWTER COMPANY",1
"LITTLE ACORNS",17
"LITTLE HOME AT RETAILER",82
"LITTLELIFE",4
"LIZ EARLE",3
"LOAF",36
"LODGE CAST IRON",1
"LOGITECH",225
"LOGITECH2",2
"LOLA ROSE",1
"LOLLYS LAUNDRY",1
"LONGCHAMP",4
"LOUIS DE POORTERE",57
"LOWEPRO",2
"LSA INTERNATIONAL",46
"LUIGI BORMIOLI",5
"LUMIE",5
"M LIFE",1
"MAC",7
"MACMILLAN",1
"MAD",2
"MADE BY ZEN",1
"MAGFORMERS",1
"MAGIMIX",7
"MAISON FRANCIS KURKDJIAN",5
"MAM",45
"MANGO",7
"MANHATTAN",2
"MARC JACOBS",1
"MARGO SELBY",17
"MARSHALL",4
"MARTIN GULLIVER",1
"MARVEL",6
"MATT NAT",1
"MATTHEW WILLIAMSON",4
"MAXI-COSI",125
"MCLAGGAN SMITH",1
"MEACO",6
"MEDELA",29
"MELISSA DOUG",2
"MERRELL",2
"METHOD",1
"MICHAEL KORS",3
"MICRALITE",1
"MICRO",1
"MICRO SCOOTERS",8
"MICROPLANE",2
"MICROSOFT",394
"MICROSOFT2",2
"MIELE",15
"MILLER",4
"MILTON & HUMBLE JEWELLERY",1
"MINDTHEGAP",1
"MINI BODEN",7
"MINI CUDDLES",18
"MINI MODERNS",1
"MINT VELVET",13
"MISSPRINT",1
"MIU MIU",1
"MIXOLOGY",1
"MM LINEN",10
"MOBY",7
"MODE",15
"MODE.",3
"MOLESKINE",1
"MOLTON BROWN",5
"MONDAINE",2
"MONICA VINADER",1
"MONSOON",2
"MONTBLANC",2
"MORPHY RICHARDS",10
"MORRIS & CO.",11
"MORRIS CO",73
"MOTHER OF PEARL",4
"MOTOROLA",2
"MOUNTAIN BUGGY",13
"MSPA",41
"MUGLER",1
"MULBERRY",9
"MULBERRY HOME",1
"MY CARRY POTTY",2
"MY EXPERT MIDWIFE",6
"NAIM",32
"NANIT",8
"NANOB B",14
"NANOLEAF",1
"NARCISO RODRIGUEZ",1
"NARS",1
"NATALIE",1
"NATIONAL GEOGRAPHIC",1
"NATURAL HISTORY MUSEUM",1
"NATURALLY MED",3
"NEAL S YARD REMEDIES",1
"NEALS YARD REMEDIES",2
"NEFF",4
"NEMO",2
"NEOM ORGANICS ",13
"NESPRESSO",16
"NETGEAR",1
"NEW BALANCE",4
"NEW BRIGHT",1
"NEWGATE CLOCKS",8
"NIELSEN",1
"NIKON",19
"NINJA",10
"NINTENDO",4
"NORDLUX",20
"NORTON",71
"NOSTIK",4
"NUDE",1
"NUMATIC",6
"NUNA",88
"OAKLEY",1
"OCULUS",19
"OLD FOLDING MAPS",1
"OLI&CAROL",1
"OLIVER HRUBIAK",2
"OLIVIA BURTON",1
"ONE FOR ALL",2
"ONEPLUS",5
"OONI",61
"OPI",2
"ORANGE TREE",1
"ORCHARD TOYS",3
"ORIGINAL BTC",5
"ORIGINS",1
"ORLA KIELY",37
"ORTHEX",2
"OSCO",9
"OWLET",17
"OXO",64
"OYOY",1
"OYSTER",53
"PABOBO",1
"PACAPOD",3
"PACIFIC LIFESTYLE",4
"PACO RABANNE",1
"PANACHE",3
"PANASONIC",437
"PAPER SALAD",3
"PARKER",1
"PARKER KNOLL",51
"PAUL LAMOND",1
"PAUL SMITH",4
"PEHR",5
"PEONY",2
"PEPPA PIG",2
"PERRICONE MD",1
"PETER REED",3
"PHASE EIGHT",5
"PHILIPS",139
"PIMPERNEL",1
"PLUM",3
"PLUTO PRODTER",1
"POLAR GEAR",2
"POLARN O PYRET",3
"POLS POTTEN",5
"POOLE POTTERY",1
"PORTICO",1
"PORTMEIRION",2
"POTTERY BARN KIDS",31
"POURTY",1
"PRADA",1
"PRESTIGE",2
"PROFESSOR PUZZLE",3
"PRYM",1
"PURE",2
"PUREBABY",7
"PURFLO",5
"PYREX",2
"RACHEL JACKSON ",1
"RADLEY",2
"RAINBOW DESIGNS",2
"RAINS",1
"RALPH LAUREN",11
"RANGEMASTER",1
"RAPHA",1
"RAPOO",3
"RAVENSBURGER",1
"RAY-BAN",8
"RECARO",1
"REISS",11
"REST EASY SLEEP BETTER",3
"RETAILER",51697
"RETAILER HEIRLOOM COLLECTION",2
"RH",1
"RIEDEL",4
"RING",11
"RITUALS",4
"RO ZO",1
"ROBERT WELCH",47
"ROBERTS",6
"ROCKET DOG",1
"ROCKIT",1
"RODIAL",2
"ROLSER",1
"ROMO",1
"RONHILL",2
"RORY DOBNER",3
"ROSIE MADE A THING",2
"ROYAL BOTANIC GARDENS KEW",2
"ROYAL DOULTON",2
"ROYAL SELANGOR",1
"ROYAL WORCESTER",8
"ROYALCRAFT",4
"RTA",3
"RUARK AUDIO",1
"RUBIES",1
"RUCOMFY",20
"RUSSEL",1
"SAFETY 1ST",1
"SAGE",30
"SALTER",4
"SAMSONITE",6
"SAMSUNG",5084
"SAMUEL GROVES",15
"SANDERSON",21
"SANDISK",7
"SARA MILLER",18
"SARAH CHAPMAN",1
"SAXBY",16
"SCALEXTRIC",1
"SCION",15
"SCOTCH SODA",1
"SCRABBLE",1
"SEALY",18
"SEBO",1
"SEE BY CHLO",1
"SELETTI",6
"SENNHEISER",2
"SENSIO",1
"SERAPHINE",1
"SERAX",2
"SERIOUS READERS",2
"SHARK",35
"SHNUGGLE",39
"SHOCK ABSORBER",1
"SHORTBREAD HOUSE OF ",2
"SIEMENS",4
"SILENTNIGHT",214
"SILVER CROSS",154
"SIMBA",48
"SIMPLEHUMAN",21
"SIMPLICITY",1
"SINGER",2
"SISLEY",1
"SISTEMA",2
"SKANDINAVISK",11
"SKATEHUT",1
"SKECHERS",2
"SKINNYDIP",4
"SKIP HOP",35
"SLEEPGREEN",5
"SLIP",2
"SLOGGI",2
"SMEG",32
"SMOBY",1
"SN Z",97
"SNUGGLEDOWN",26
"SNÜZ",5
"SOFI",21
"SOMERSET BY ALICE TEMPERLEY",1
"SONOS",247
"SONY",3150
"SOPHIE ALLPORT",17
"SOPHIE CONRAN FOR PORTMEIRION",22
"SOPHIE LA GIRAFFE",4
"SOSANDAR",4
"SPANX",1
"SPEAR & JACKSON",1
"SPEAR JACKSON",1
"SPECK",40
"SPEEDO",2
"SPIEGELAU",2
"SPODE",4
"STACKERS",8
"STAUB",1
"STOKKE",106
"STOMPA",82
"STONEGLOW",2
"STOVES",15
"STRING",30
"STYCH",1
"SUNCAST",2
"SUNDAY RILEY",3
"SUNNYLIFE",2
"SUNTIME",4
"SUPERDRY",1
"SWAROVSKI",1
"SWEATY BETTY",13
"SWOON",525
"SWYFT",280
"TABITHA WEBB",1
"TACHE CRAFTS",1
"TALA",13
"TALKING TABLES",9
"TARGUS",134
"TARGUS2",2
"TASSIMO",2
"TATAY",1
"TATE",1
"TECHLINK",10
"TECHNICS",29
"TED BAKER",18
"TEFAL",42
"TEMPLE ISLAND",2
"TEMPUR",259
"TETRAD",87
"THE BOOK SERVICE",4
"THE FINE BEDDING COMPANY",2
"THE HOME EDIT",40
"THE JUST SLATE COMPANY",11
"THE LITTLE BOTANICAL",27
"THE LITTLE GREEN SHEEP",12
"THE LITTLE GREENE PAINT COMPANY",4
"THE NORTH FACE",7
"THEIR NIBS",1
"THERAGUN",3
"THERMOS",1
"THIS WORKS",1
"THOMAS KENT",5
"THOUGHT",2
"THULE",5
"TIBA MARL",2
"TIFFANY CO",2
"TIMBERLAND",1
"TINC",2
"TINKER TAILOR",2
"TINY LOVE",7
"TISSOT",1
"TKC",1
"TOKYO DESIGN STUDIO",1
"TOM DIXON",12
"TOM FORD",16
"TOM RAFFIELD",16
"TOM SCHNEIDER",3
"TOMMEE TIPPEE",252
"TOMMY HILFIGER",11
"TOMY",1
"TONIES",3
"TOO FACED",8
"TOSHIBA",3
"TOSHIBA2",2
"TOTES",1
"TOTTER + TUMBLE",2
"TOTTER TUMBLE",7
"TP-LINK",1
"TRAEGER",73
"TREAT REPUBLIC",2
"TROTTERS",1
"TRUE GRACE",2
"TRULY",12
"TRYBIKE",2
"TURTLE MAT",6
"TUTTI CO",1
"TWEEZERMAN",1
"UGG",5
"ULTIMATE EARS",3
"UMBRA",61
"UNBRANDED",75
"UNDER ARMOUR",3
"UNDER THE ROSE",1
"UNIVERSITY GAMES",1
"UNNATURAL FLOORING",1
"UPPABABY",95
"V A",1
"VANS",4
"VARILIGHT",2
"VAX",12
"VELFONT",56
"VENICE BEACH",2
"VERA WANG FOR WEDGWOOD",2
"VF JEWELLERY",2
"VIKTOR ROLF",6
"VILLA NOVA",1
"VISPRING",65
"VITAL BABY",15
"VITAMIX",3
"VITRA",33
"VOYAGE",4
"VTECH",8
"WABOBA",1
"WANDERLUST CO",1
"WATERFORD",1
"WATERROWER",1
"WEAVER GREEN",6
"WEBER",200
"WEDGWOOD",2
"WEEKEND MAXMARA",1
"WENKO",10
"WER",3
"WEST ELM",613
"WESTERN DIGITAL",2
"WHAT DO YOU MEME",2
"WHISTLES",12
"WHITE STUFF",10
"WHITTARD",2
"WILLIAM MORRIS GALLERY",2
"WINNIE THE POOH",2
"WIZ",2
"WOODMANSTERNE",7
"WOOL AND THE GANG",2
"WRENDALE DESIGNS",3
"WROUGHT IRON AND BRASS BED CO",13
"WROUGHT IRON AND BRASS BED CO.",9
"YAMAZAKI",1
"YARDART",4
"YVES SAINT LAURENT",6
"YVONNE ELLEN",1
"ZELENS",1
